"YearStart" "YearEnd" "LocationDesc" "Question" "DataValue"
"87412" 2010 2010 "Rhode Island" "Mortality from diseases of the heart" "2322"
"100535" 2010 2010 "Alaska" "Mortality from diseases of the heart" "707"
"100655" 2010 2010 "Alabama" "Mortality from diseases of the heart" "12083"
"100773" 2010 2010 "Arkansas" "Mortality from diseases of the heart" "7274"
"100891" 2010 2010 "Arizona" "Mortality from diseases of the heart" "9954"
"101011" 2010 2010 "California" "Mortality from diseases of the heart" "58641"
"101133" 2010 2010 "Colorado" "Mortality from diseases of the heart" "6038"
"101254" 2010 2010 "Connecticut" "Mortality from diseases of the heart" "7127"
"101376" 2010 2010 "District of Columbia" "Mortality from diseases of the heart" "1306"
"101494" 2010 2010 "Delaware" "Mortality from diseases of the heart" "1776"
"101571" 2010 2010 "Florida" "Mortality from diseases of the heart" "41737"
"101731" 2010 2010 "Georgia" "Mortality from diseases of the heart" "15987"
"101850" 2010 2010 "Hawaii" "Mortality from diseases of the heart" "2239"
"101970" 2010 2010 "Iowa" "Mortality from diseases of the heart" "6880"
"102089" 2010 2010 "Idaho" "Mortality from diseases of the heart" "2495"
"102208" 2010 2010 "Illinois" "Mortality from diseases of the heart" "24959"
"102327" 2010 2010 "Indiana" "Mortality from diseases of the heart" "13388"
"102445" 2010 2010 "Kansas" "Mortality from diseases of the heart" "5433"
"102567" 2010 2010 "Kentucky" "Mortality from diseases of the heart" "9662"
"102686" 2010 2010 "Louisiana" "Mortality from diseases of the heart" "10282"
"102807" 2010 2010 "Massachusetts" "Mortality from diseases of the heart" "12043"
"102928" 2010 2010 "Maryland" "Mortality from diseases of the heart" "10915"
"103044" 2010 2010 "Maine" "Mortality from diseases of the heart" "2628"
"103164" 2010 2010 "Michigan" "Mortality from diseases of the heart" "23326"
"103283" 2010 2010 "Minnesota" "Mortality from diseases of the heart" "7185"
"103403" 2010 2010 "Missouri" "Mortality from diseases of the heart" "13840"
"103522" 2010 2010 "Mississippi" "Mortality from diseases of the heart" "7542"
"103640" 2010 2010 "Montana" "Mortality from diseases of the heart" "1849"
"103760" 2010 2010 "North Carolina" "Mortality from diseases of the heart" "17154"
"103881" 2010 2010 "North Dakota" "Mortality from diseases of the heart" "1395"
"104000" 2010 2010 "Nebraska" "Mortality from diseases of the heart" "3355"
"104119" 2010 2010 "New Hampshire" "Mortality from diseases of the heart" "2290"
"104240" 2010 2010 "New Jersey" "Mortality from diseases of the heart" "18730"
"104360" 2010 2010 "New Mexico" "Mortality from diseases of the heart" "3224"
"104481" 2010 2010 "Nevada" "Mortality from diseases of the heart" "4811"
"104601" 2010 2010 "New York" "Mortality from diseases of the heart" "44981"
"104632" 2010 2010 "Pennsylvania" "Mortality from diseases of the heart" "31556"
"104723" 2010 2010 "Ohio" "Mortality from diseases of the heart" "26164"
"104840" 2010 2010 "Oklahoma" "Mortality from diseases of the heart" "9426"
"104959" 2010 2010 "Oregon" "Mortality from diseases of the heart" "6198"
"105317" 2010 2010 "South Carolina" "Mortality from diseases of the heart" "9295"
"105434" 2010 2010 "South Dakota" "Mortality from diseases of the heart" "1616"
"105554" 2010 2010 "Tennessee" "Mortality from diseases of the heart" "14582"
"105674" 2010 2010 "Texas" "Mortality from diseases of the heart" "38253"
"105793" 2010 2010 "United States" "Mortality from diseases of the heart" "597689"
"105808" 2010 2010 "Utah" "Mortality from diseases of the heart" "2889"
"105928" 2010 2010 "Virginia" "Mortality from diseases of the heart" "13404"
"106048" 2010 2010 "Vermont" "Mortality from diseases of the heart" "1172"
"106166" 2010 2010 "Washington" "Mortality from diseases of the heart" "10602"
"106252" 2010 2010 "West Virginia" "Mortality from diseases of the heart" "4897"
"106288" 2010 2010 "Wisconsin" "Mortality from diseases of the heart" "11115"
"106526" 2010 2010 "Wyoming" "Mortality from diseases of the heart" "962"
