"YearStart" "YearEnd" "LocationDesc" "Question" "DataValue"
"67841" 2012 2012 "Alaska" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "409"
"67954" 2012 2012 "Alabama" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4876"
"68075" 2012 2012 "Arkansas" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3209"
"68202" 2012 2012 "Arizona" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5269"
"68321" 2012 2012 "California" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "25576"
"68441" 2012 2012 "Colorado" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4020"
"68554" 2012 2012 "Connecticut" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2662"
"68682" 2012 2012 "District of Columbia" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "281"
"68798" 2012 2012 "Delaware" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "824"
"68916" 2012 2012 "Florida" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "18886"
"69036" 2012 2012 "Georgia" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6634"
"69161" 2012 2012 "Hawaii" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "551"
"69274" 2012 2012 "Iowa" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3576"
"69395" 2012 2012 "Idaho" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1363"
"69514" 2012 2012 "Illinois" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "9609"
"69637" 2012 2012 "Indiana" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "7946"
"69750" 2012 2012 "Kansas" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2808"
"69875" 2012 2012 "Kentucky" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6027"
"69988" 2012 2012 "Louisiana" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3555"
"70107" 2012 2012 "Massachusetts" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4193"
"70234" 2012 2012 "Maryland" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3824"
"70350" 2012 2012 "Maine" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1521"
"70473" 2012 2012 "Michigan" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "10332"
"70589" 2012 2012 "Minnesota" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4441"
"70713" 2012 2012 "Missouri" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6377"
"70830" 2012 2012 "Mississippi" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3084"
"70952" 2012 2012 "Montana" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1054"
"71071" 2012 2012 "North Carolina" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "9270"
"71193" 2012 2012 "North Dakota" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "727"
"71315" 2012 2012 "Nebraska" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2075"
"71436" 2012 2012 "New Hampshire" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1314"
"71561" 2012 2012 "New Jersey" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6405"
"71674" 2012 2012 "New Mexico" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1796"
"71797" 2012 2012 "Nevada" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2127"
"71920" 2012 2012 "New York" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "13412"
"72040" 2012 2012 "Ohio" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "13975"
"72153" 2012 2012 "Oklahoma" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5157"
"72259" 2012 2012 "Oregon" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3912"
"72398" 2012 2012 "Pennsylvania" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "12695"
"72512" 2012 2012 "Rhode Island" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1143"
"72635" 2012 2012 "South Carolina" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4402"
"72652" 2012 2012 "South Dakota" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "979"
"72872" 2012 2012 "Tennessee" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "7567"
"72995" 2012 2012 "Texas" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "19175"
"73070" 2012 2012 "United States" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "270830"
"73133" 2012 2012 "Utah" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1039"
"73252" 2012 2012 "Virginia" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5461"
"73366" 2012 2012 "Vermont" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "823"
"73495" 2012 2012 "Washington" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5991"
"73615" 2012 2012 "Wisconsin" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4765"
"73729" 2012 2012 "West Virginia" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3089"
"73853" 2012 2012 "Wyoming" "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "624"
