"YearStart" "YearEnd" "LocationDesc" "Question" "DataValue"
"77608" 2013 2013 "Alaska" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "46.4"
"77644" 2013 2013 "Alabama" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "43.4"
"77679" 2013 2013 "Arkansas" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "48.1"
"77713" 2013 2013 "Arizona" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "32.1"
"77746" 2013 2013 "Hawaii" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "21.9"
"77749" 2013 2013 "California" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "30.8"
"77783" 2013 2013 "Colorado" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "34.9"
"77817" 2013 2013 "Connecticut" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "33.6"
"77852" 2013 2013 "District of Columbia" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "40.6"
"77886" 2013 2013 "Delaware" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "36.7"
"77921" 2013 2013 "Florida" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "33.5"
"77955" 2013 2013 "Georgia" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "39.7"
"77989" 2013 2013 "Guam" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "42.6"
"78051" 2013 2013 "Iowa" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "42.6"
"78085" 2013 2013 "Idaho" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "35.1"
"78119" 2013 2013 "Illinois" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "37"
"78154" 2013 2013 "Indiana" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "43.4"
"78188" 2013 2013 "Kansas" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "40.5"
"78222" 2013 2013 "Kentucky" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "45.1"
"78256" 2013 2013 "Louisiana" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "40.1"
"78290" 2013 2013 "Massachusetts" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "32.3"
"78324" 2013 2013 "Maryland" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "35.8"
"78359" 2013 2013 "Maine" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "35"
"78394" 2013 2013 "Michigan" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "39.8"
"78428" 2013 2013 "Minnesota" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "34.9"
"78463" 2013 2013 "Missouri" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "44.2"
"78497" 2013 2013 "Mississippi" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "41.4"
"78530" 2013 2013 "Montana" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "37.8"
"78564" 2013 2013 "North Carolina" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "38.9"
"78598" 2013 2013 "North Dakota" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "36.1"
"78633" 2013 2013 "Nebraska" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "36.6"
"78668" 2013 2013 "New Hampshire" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "37.5"
"78680" 2013 2013 "Oklahoma" "Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease" "47.3"
