"","states","year","disease","datatype","deathpop","class","population","ratio"
"1","Alabama",2010,"Mortality from total cardiovascular disease","Nmbr",15809,"Overall",4785161,0.00330375508786434
"2","Alabama",2010,"Mortality from total cardiovascular disease","Nmbr",8115,"Female",4785161,0.00169586770434683
"3","Alabama",2010,"Mortality from cerebrovascular disease (stroke)","Nmbr",1069,"Male",4785161,0.000223398961915806
"4","Alabama",2010,"Mortality from heart failure","Nmbr",5764,"Overall",4785161,0.00120455717163957
"5","Alabama",2010,"Mortality from diseases of the heart","Nmbr",12083,"Overall",4785161,0.0025250979016171
"6","Alabama",2010,"Mortality from diseases of the heart","Nmbr",5950,"Female",4785161,0.00124342733713662
"7","Alabama",2010,"Mortality from cerebrovascular disease (stroke)","Nmbr",2619,"Overall",4785161,0.000547317007724505
"8","Alabama",2010,"Mortality from coronary heart disease","Nmbr",2500,"Female",4785161,0.000522448460981773
"9","Alabama",2010,"Mortality from cerebrovascular disease (stroke)","Nmbr",1550,"Female",4785161,0.000323918045808699
"10","Alabama",2010,"Mortality from total cardiovascular disease","Nmbr",7694,"Male",4785161,0.0016078873835175
"11","Alabama",2010,"Mortality from heart failure","Nmbr",3099,"Female",4785161,0.000647627112233005
"12","Alabama",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",4751,"Overall",4785161,0.000992861055249761
"13","Alabama",2010,"Mortality from diseases of the heart","Nmbr",6133,"Male",4785161,0.00128167056448048
"14","Alabama",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",2253,"Female",4785161,0.000470830553036773
"15","Alabama",2010,"Mortality from heart failure","Nmbr",2665,"Male",4785161,0.00055693005940657
"16","Alabama",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",2498,"Male",4785161,0.000522030502212987
"17","Alabama",2010,"Mortality from coronary heart disease","Nmbr",3057,"Male",4785161,0.000638849978088512
"18","Alabama",2010,"Mortality from coronary heart disease","Nmbr",5557,"Overall",4785161,0.00116129843907028
"19","Alaska",2010,"Mortality from total cardiovascular disease","Nmbr",390,"Female",714021,0.000546202422617822
"20","Alaska",2010,"Mortality from total cardiovascular disease","Nmbr",555,"Male",714021,0.000777288062956132
"21","Alaska",2010,"Mortality from heart failure","Nmbr",293,"Overall",714021,0.000410352076479543
"22","Alaska",2010,"Mortality from cerebrovascular disease (stroke)","Nmbr",78,"Male",714021,0.000109240484523564
"23","Alaska",2010,"Mortality from diseases of the heart","Nmbr",266,"Female",714021,0.000372538062606002
"24","Alaska",2010,"Mortality from cerebrovascular disease (stroke)","Nmbr",89,"Female",714021,0.000124646193879452
"25","Alaska",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",189,"Male",714021,0.000264698097114791
"26","Alaska",2010,"Mortality from heart failure","Nmbr",137,"Female",714021,0.000191871107432414
"27","Alaska",2010,"Mortality from diseases of the heart","Nmbr",441,"Male",714021,0.000617628893267845
"28","Alaska",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",372,"Overall",714021,0.000520993080035461
"29","Alaska",2010,"Mortality from cerebrovascular disease (stroke)","Nmbr",167,"Overall",714021,0.000233886678403016
"30","Alaska",2010,"Mortality from total cardiovascular disease","Nmbr",945,"Overall",714021,0.00132349048557395
"31","Alaska",2010,"Mortality from coronary heart disease","Nmbr",124,"Female",714021,0.00017366436001182
"32","Alaska",2010,"Mortality from diseases of the heart","Nmbr",707,"Overall",714021,0.000990166955873847
"33","Alaska",2010,"Mortality from coronary heart disease","Nmbr",262,"Male",714021,0.000366935986476588
"34","Alaska",2010,"Mortality from heart failure","Nmbr",156,"Male",714021,0.000218480969047129
"35","Alaska",2010,"Mortality from coronary heart disease","Nmbr",386,"Overall",714021,0.000540600346488409
"36","Alaska",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",183,"Female",714021,0.00025629498292067
"37","Arizona",2010,"Mortality from heart failure","Nmbr",4206,"Overall",6408208,0.00065634573659282
"38","Arizona",2010,"Mortality from coronary heart disease","Nmbr",3016,"Female",6408208,0.000470646395997134
"39","Arizona",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",4797,"Overall",6408208,0.000748571207426476
"40","Arizona",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years","Nmbr",2292,"Female",6408208,0.000357666292979254
"41","Arizona",2010,"Mortality from heart failure","Nmbr",2110,"Male",6408208,0.000329265217358737
"42","Arizona",2010,"Mortality from total cardiovascular disease","Nmbr",6265,"Female",6408208,0.000977652410783171
"43","Arizona",2010,"Mortality from coronary heart disease","Nmbr",4173,"Male",6408208,0.000651196091013276
"44","Arizona",2010,"Mortality from total cardiovascular disease","Nmbr",13192,"Overall",6408208,0.00205860983288932
"45","Arizona",2010,"Mortality from heart failure","Nmbr",2096,"Female",6408208,0.000327080519234082
"46","Arizona",2010,"Mortality from coronary heart disease","Nmbr",7189,"Overall",6408208,0.00112184248701041
